english,tamil,category,tamil_category
bacteriogenic,"நுண்மிவழி, நுண்மிவழித் தோன்றும்",General Med,மருத்துவவியல்
bacteriogenous,நுண்மிவழி,General Med,மருத்துவவியல்
bacteriogenous disease,நுண்மிவழி நோய்,General Med,மருத்துவவியல்
bacterioid,"நுண்மி அனைய, நுண்மியகம்",General Med,மருத்துவவியல்
bacteriologic,நுண்மியியல்சார்,General Med,மருத்துவவியல்
bacteriologist,நுண்மியியல் வல்லுநர்,General Med,மருத்துவவியல்
bacteriology,நுண்மியியல்,General Med,மருத்துவவியல்
bacteriolysis,நுண்மிச்சிதைவு,General Med,மருத்துவவியல்
bacteriolytic,நுண்மிச்சிதைப்பு,General Med,மருத்துவவியல்
bacteriophage,நுண்மி உண்ணி,General Med,மருத்துவவியல்
bacteriophagia,நுண்மி உண்ணிச் சிதைவு,General Med,மருத்துவவியல்
bacterioprotein,நுண்மிப்புரதம்,General Med,மருத்துவவியல்
bacteriosis,"நுண்ணுயிரித் தொற்றுநோய்கள், பாக்டீரியத் தொற்றுகள், நுண்மிநோய்",General Med,மருத்துவவியல்
bacteriostasis,நுண்மிக்கட்டு,General Med,மருத்துவவியல்
bacteriostatic (adj),நுண்மிக்கட்டு(சார்),General Med,மருத்துவவியல்
bacteriostatic drug,நுண்மிக்கட்டு மருந்து,General Med,மருத்துவவியல்
bacteriotherapy,நுண்மி மருத்துவம்,General Med,மருத்துவவியல்
bacterostatic,"நுண்ணுயிரித்தடை(சார்), பாக்டீரியத்தடை உண்டாக்கும்",General Med,மருத்துவவியல்
bainbridge reflex,பெயின்பிரிட்ஜ் மறிவினை,General Med,மருத்துவவியல்
balance,சமநிலை,General Med,மருத்துவவியல்
balanced diet,"சமச்சீர் உணவு, சீருணவு, சரிவிகித உணவு",General Med,மருத்துவவியல்
balanitis,"மாணி மொட்டழற்சி, மாணி நுனியழற்சி",General Med,மருத்துவவியல்
balanoblennorrhea,"வெட்டை நோய், மாணி வெட்டை",General Med,மருத்துவவியல்
balanoposthittis,"ஆணுறுப்பு மொட்டு அழற்சி, மாணியழற்சி",General Med,மருத்துவவியல்
bald tongue,வழுக்கை நாக்கு,General Med,மருத்துவவியல்
balisto cadiogram,எறிவு இதய வரைவு,General Med,மருத்துவவியல்
balkan nephropthy,பால்கன் சிறுநீரக அழிவு,General Med,மருத்துவவியல்
ball and scoket,பந்து-கிண்ணம்,General Med,மருத்துவவியல்
ball and socket joint,பந்து-கிண்ண மூட்டு,General Med,மருத்துவவியல்
ballistic stretching,எறிவியல் நீட்டிப்பு,General Med,மருத்துவவியல்
balloon,"ஊதற் பை, வளிக்கூண்டு",General Med,மருத்துவவியல்
ballottement,"கருக்குழந்தை அசைவு, சுண்டு, கருக்குழந்தைச் சுண்டு",General Med,மருத்துவவியல்
"ballottement, external",வெளிச்சுண்டு,General Med,மருத்துவவியல்
"ballottement, internal",உட்சுண்டு,General Med,மருத்துவவியல்
band,பட்டை,General Med,மருத்துவவியல்
bangle test,வளையல் சோதனை,General Med,மருத்துவவியல்
bar exercises,கம்பித்தூண் பயிற்சிகள்,General Med,மருத்துவவியல்
barber’s pilonidal sinus,முடி படிவாற் குழிப்புண்,General Med,மருத்துவவியல்
bariatrics,உடல் பருமனியல்,General Med,மருத்துவவியல்
baritosis,"பாரைட் நுரையீரல் அழற்சி, பாரி டோசிஸ்",General Med,மருத்துவவியல்
barium meal x-ray,"பேரியம் கதிர்வீச்சுப் படம், பேரியம் விழுங்கு ஊடுகதிர்ப் படம்",General Med,மருத்துவவியல்
barlow’s disease,பார்லோ நோய்,General Med,மருத்துவவியல்
barognosis,எடையறிவுணர்வு,General Med,மருத்துவவியல்
baroreceptor,அழுத்தப்புலன்வாங்கி,General Med,மருத்துவவியல்
baroreflex,அழுத்த மறிவினை,General Med,மருத்துவவியல்
baroscope,காற்றழுத்தமானி,General Med,மருத்துவவியல்
barotrauma,அழுத்தக்காயம்,General Med,மருத்துவவியல்
barrier,"தடை, இடர்",General Med,மருத்துவவியல்
bartholin’s gland,பார்த்தோலின் சுரப்பி,General Med,மருத்துவவியல்
baruria,"அடர்த்தியான சிறுநீர், அடர்நீரியம்",General Med,மருத்துவவியல்
bary,"எடைமிக்க, கடினமான",General Med,மருத்துவவியல்
basad,"அடிப்பக்க, அடிநிலைசார்",General Med,மருத்துவவியல்
basal body temperature,இயல்பு உடல்வெப்பம்,General Med,மருத்துவவியல்
basal cartilage,அடிக்குருத்தெலும்பு,General Med,மருத்துவவியல்
basal cell carcinoma,அடியணுப்புற்று,General Med,மருத்துவவியல்
basal cell layer,அடிப்படை அணு அடுக்கு,General Med,மருத்துவவியல்
basal ganglia,"பேசல் கேங்லியா, அடிமுடிச்சுத் தொகுதிகள், அடிமூளைத் திரள்",General Med,மருத்துவவியல்
basal insulin,அடிப்படை இன்சுலின்,General Med,மருத்துவவியல்
basal lamina,அடிப்படலம்,General Med,மருத்துவவியல்
basal metabolic rate,அடிப்படை வளர்சிதைமாற்ற வீதம்,General Med,மருத்துவவியல்
basal metabolism,"அடிப்படை வளர்சிதைமாற்றம், அடிப்படை வளர்சிதைவு",General Med,மருத்துவவியல்
basal plate,அடித்தட்டு,General Med,மருத்துவவியல்
basal sphenoid bone,அடித்தலை ஆப்பு எலும்பு,General Med,மருத்துவவியல்
basalis,அடிப்பகுதி,General Med,மருத்துவவியல்
base,"அடி, அடிநிலை",General Med,மருத்துவவியல்
base of cranium,கபால (மண்டையோட்டு) அடிநிலை,General Med,மருத்துவவியல்
base of gait,நடை அடிமானம்,General Med,மருத்துவவியல்
base of the heart,"இதய அடிப்பாகம், இதய அடிப்பரப்பு",General Med,மருத்துவவியல்
base width (gait),அடிமான அகலம்,General Med,மருத்துவவியல்
basement membrane,"அடித்தளச் சவ்வு, அடிநிலைப் படலம்",General Med,மருத்துவவியல்
basi cordis,இதய அடிநிலை,General Med,மருத்துவவியல்
basicity,"காரத்தன்மை, கார இணைதிறன் (வேதியியலில்)",General Med,மருத்துவவியல்
basilar membrance,அடித்தளப் படலம்,General Med,மருத்துவவியல்
basilar sulcus,அடித்தளக் குழிவு (விடரிப்பு),General Med,மருத்துவவியல்
basilar sulcus of occipital bone,பிடரி அடித்தளக் குழிவு (விடரிப்பு),General Med,மருத்துவவியல்
basilar sulcus of pons,முகுளத்தின் அடித்தளக் குழிவு (விடரிப்பு),General Med,மருத்துவவியல்
basilemma,அடிநிலைப் படலம்,General Med,மருத்துவவியல்
basilic vein,"கையின் உட்சிரை, பேசிலிக் சிரை",General Med,மருத்துவவியல்
basin,குழி கிண்ணம்,General Med,மருத்துவவியல்
basis cranii externa,கபாலப் புற அடிநிலை,General Med,மருத்துவவியல்
basis cranii interna,கபால அக அடிநிலை,General Med,மருத்துவவியல்
basis mandibulae,கீழ்த்தாடை அடிவிளிம்பு,General Med,மருத்துவவியல்
basket cell,கூடை அணு,General Med,மருத்துவவியல்
basograph,நடைவரைவி (நடைக் கோளாறுகளைப் பதியும் கருவி),General Med,மருத்துவவியல்
basophil,காரப் பற்று,General Med,மருத்துவவியல்
basophilic,"கார நாடி, காரப் பிடித்தமான",General Med,மருத்துவவியல்
bay,"குடா உள்நுழைவு, உள்குடைவு",General Med,மருத்துவவியல்
BCG vaccination,"காசநோய் தடுப்பு ஊசி, ஙிசிநி தடுப்பூசி",General Med,மருத்துவவியல்
bearing down,முக்கி இறக்குதல்,General Med,மருத்துவவியல்
beastiality,விலங்குகளைப் புணர்ந்து மகிழ்தல்,General Med,மருத்துவவியல்
beat,துடிப்பு,General Med,மருத்துவவியல்
bed sore,படுக்கைப் புண்,General Med,மருத்துவவியல்
bed wetting,துயில் நனைப்பு,General Med,மருத்துவவியல்
"bed, stomach",இரைப்பைப் படுக்கை,General Med,மருத்துவவியல்
bedfast,படுக்கையிலிருந்து எழமுடியாமை,General Med,மருத்துவவியல்
behaviour,நடத்தை,General Med,மருத்துவவியல்
behaviour analysis,நடத்தைப் பகுப்பாய்வு,General Med,மருத்துவவியல்
behaviour therapy,"நடத்தை மாற்று மருத்துவம், நடத்தை மருத்துவம்",General Med,மருத்துவவியல்
behavioural disturbance,நடத்தைக் கோளாறுகள்,General Med,மருத்துவவியல்
behavioural functions of brain,மூளையின் நடத்தைச் செயல்பாடுகள்,General Med,மருத்துவவியல்
belching,ஏப்பம்,General Med,மருத்துவவியல்
belemnoid,அம்பு வடிவ,General Med,மருத்துவவியல்
bell stage,மணிநிலை,General Med,மருத்துவவியல்
bell’s palsy,"முகத்தசை வாதம், பெல் பக்கவாதம்",General Med,மருத்துவவியல்
bell’s phenomenon,பெல் நிகழ்வு,General Med,மருத்துவவியல்
belly,"வயிறு, (தசை குறித்து) சுருக்கமடையக் கூடிய, தசையின் சதைப்பகுதி",General Med,மருத்துவவியல்
belonoid,"ஊசிபோன்ற, ஊசிப்போலி",General Med,மருத்துவவியல்
belts,"கச்சைகள், பட்டைகள்",General Med,மருத்துவவியல்
benign,"புற்றல்லாத, தீங்கற்ற, புற்றிலி (புற்றல்லாத கட்டிகள் குறிக்கும் இடங்களில்)",General Med,மருத்துவவியல்
benign migratory glossitis,புற்றில்லா நகரும் நாவழற்சி,General Med,மருத்துவவியல்
benign tumor,"புற்றில்லாக் கட்டி, தீங்கற்ற கழலை",General Med,மருத்துவவியல்
beri beri,"திமிர்நோய், பெரிபெரி",General Med,மருத்துவவியல்
bestiality,விலங்குகளைப் புணர்தல்,General Med,மருத்துவவியல்
beta cell,பீட்டா உயிரணு,General Med,மருத்துவவியல்
beta motoneuron,பீட்டா இயக்க நரம்பணு,General Med,மருத்துவவியல்
beta-blockers,"பீட்டா தடுப்பான்(கள்), பீட்டா பிளாக்கர்",General Med,மருத்துவவியல்
biarticular,இருமூட்டுசார்,General Med,மருத்துவவியல்
bias,"(ஆய்வுப்பணியில்) சாருமை, கோடல்",General Med,மருத்துவவியல்
biased,ஒருபுறச் சாய்வுடைய,General Med,மருத்துவவியல்
biauricular,இரு செவிமடல்சார்,General Med,மருத்துவவியல்
biaxial joint,ஈரச்சு மூட்டு,General Med,மருத்துவவியல்
biaxillary,இருஅக்குள்சார்,General Med,மருத்துவவியல்
bibliotherapy,"நூல் மருத்துவம், புத்தக மருத்துவம்",General Med,மருத்துவவியல்
bibulous,"ஈர்ப்புடைய, நீரை உறிஞ்சக்கூடிய",General Med,மருத்துவவியல்
bicameral,"இரட்டையறை முறை, ஈரறை கொண்ட",General Med,மருத்துவவியல்
bicapsular,ஈருறை கொண்ட,General Med,மருத்துவவியல்
bicaudal,இரு வாலிய,General Med,மருத்துவவியல்
bicellular,ஈரணு(சார்),General Med,மருத்துவவியல்
biceps,இருதலை,General Med,மருத்துவவியல்
biceps brachi,மேற்கை இருதலைத் தசை,General Med,மருத்துவவியல்
biceps femoris,தொடை இருதலைத் தசை,General Med,மருத்துவவியல்
bicipital,"இரட்டைத் தலை, இருதலைசார்",General Med,மருத்துவவியல்
bicipital aponeurosis,இருதலை நாண்விரியம்,General Med,மருத்துவவியல்
bicipital groove,இருதலை விடரிப்பு (காடி),General Med,மருத்துவவியல்
biconcave,இருகுழிவு(சார்),General Med,மருத்துவவியல்
biconvex,இருகுவிவு(சார்),General Med,மருத்துவவியல்
bicornuate,இருகூம்புடைய,General Med,மருத்துவவியல்
bicornuate uterus,"இருகூம்புக் கருப்பை, இருகொம்புக் கருப்பை",General Med,மருத்துவவியல்
bicuspid,"இருகூர்முனைப் பல், இருமுகட்டுப் பல்",General Med,மருத்துவவியல்
bicuspid valve,"இரு கதுப்புக் கவாடம், ஈரிதழ்த் தடுப்பிதழ்",General Med,மருத்துவவியல்
bid,நாளொன்றுக்கு இருமுறை (மருந்து உட்கொள்ளல் தொடர்பாக),General Med,மருத்துவவியல்
bidentate,இருபல் தொடர்புடைய,General Med,மருத்துவவியல்
bifid,"இருபிளவு கொண்ட, இரட்டையாகப் பிளந்த",General Med,மருத்துவவியல்
bifid tongue,பிளவு நாக்கு,General Med,மருத்துவவியல்
bifida,இருபிளவு,General Med,மருத்துவவியல்
bifidus,இருபிளவான,General Med,மருத்துவவியல்
bifocal,இரட்டைக் குவியக் கண்ணாடி,General Med,மருத்துவவியல்
biforate,இருபுழை(கொண்ட),General Med,மருத்துவவியல்
bifurcate,இரண்டாகப் பிரிந்த,General Med,மருத்துவவியல்
"bifurcate, bifid, bifida","இருபிளவு, பிளவுறு, பிளவுற்ற",General Med,மருத்துவவியல்
bifurcatio,பிரியுமிடம்,General Med,மருத்துவவியல்
bifurcatio aortae,பெருந்தமனிப் பிரிவிடம்,General Med,மருத்துவவியல்
bifurcatio carotidis,கழுத்துக் குருதிநாளப் பிரிவிடம்,General Med,மருத்துவவியல்
bifurcatio tracheae,காற்றுக்குழாய்ப் பிரிவிடம்,General Med,மருத்துவவியல்
bifurcation,இரண்டாகப் பிரிதல்,General Med,மருத்துவவியல்
biguanide,பைக்வானைட் (நீரிழிவு மருந்து),General Med,மருத்துவவியல்
bilaminar,இருஅடுக்கு,General Med,மருத்துவவியல்
bilateral,இருபக்க,General Med,மருத்துவவியல்
bilateral anterior mandibular,இருபுற முன்தாடை,General Med,மருத்துவவியல்
bilateral cleavage/cleft,இருபக்கப் பிளவு,General Med,மருத்துவவியல்
bilateral symmetry,இருபக்கச் சமச்சீர்மை,General Med,மருத்துவவியல்
bilateral temporal hemianopia,இருபக்கக் கன்னப் பொட்டுப் பார்வை,General Med,மருத்துவவியல்
bilayer,"இருநிலை, இருஅடுக்கு",General Med,மருத்துவவியல்
bile,பித்த(நீர்),General Med,மருத்துவவியல்
bile acids,பித்த அமிலங்கள்,General Med,மருத்துவவியல்
bile capillary,பித்த நுண்குழல்,General Med,மருத்துவவியல்
bile duct,பித்தநாளம்,General Med,மருத்துவவியல்
bile duct adenoma,பித்தநாளச் சீதப்படலக் கட்டி,General Med,மருத்துவவியல்
bile duct carcinoma,"பித்தநாளப் புற்று, பித்தநாளக் கார்சினோமா",General Med,மருத்துவவியல்
bile duct paucity syndrome,பித்தநாளக் குறைபாட்டு நோயியம் (நோய்த்தொகை),General Med,மருத்துவவியல்
bile pigments,பித்த நிறமிகள்,General Med,மருத்துவவியல்
bile salt malabsorption,பித்த உப்பு பிறழுறிஞ்சல்,General Med,மருத்துவவியல்
bile salts,பித்த உப்புகள்,General Med,மருத்துவவியல்
bile stone,பித்தக் கல்,General Med,மருத்துவவியல்
bileduct cystadeno carcinoma,பித்தநாளச் சீதப் புற்று,General Med,மருத்துவவியல்
biliary,"பித்த, பித்தம்சார்",General Med,மருத்துவவியல்
biliary atresia,பித்தநாளக் குறுக்கம்,General Med,மருத்துவவியல்
biliary calculi,பித்தக் கற்கள்,General Med,மருத்துவவியல்
biliary canaliculus,பித்தக் குறுங்கால்வாய்,General Med,மருத்துவவியல்
biliary cirrhosis,பித்தநீர்க் கரணை நோய்,General Med,மருத்துவவியல்
biliary cystadenoma,பித்தநாளச் சீதப் புற்று,General Med,மருத்துவவியல்
biliary tract,"பித்தப் பாதை, பித்தத் தடம்",General Med,மருத்துவவியல்
biliferous,பித்தம் உந்துகிற,General Med,மருத்துவவியல்
biligenic,பித்தநீர் உண்டாக்கும்,General Med,மருத்துவவியல்
bilious,பித்தநீர்சார்,General Med,மருத்துவவியல்
bilious vomitting,பித்த வாந்தி,General Med,மருத்துவவியல்
biliousness,பித்த மயக்கம்,General Med,மருத்துவவியல்
bilirachia,பித்தத் தண்டுநீரியம்,General Med,மருத்துவவியல்
bilirubin,பித்தத் துகள்,General Med,மருத்துவவியல்
biliuria,பித்தநீரியம்,General Med,மருத்துவவியல்
bilobate,"இருமடலிய, இரட்டை மடல்கள், இரட்டை மடலிய",General Med,மருத்துவவியல்
bilocular,ஈரறை கொண்ட,General Med,மருத்துவவியல்
bilocular joint,ஈரறை மூட்டு,General Med,மருத்துவவியல்
bimanual,இருகைசார்,General Med,மருத்துவவியல்
bimodal,இருநெறிய,General Med,மருத்துவவியல்
binary fission,இருசமப் பிளவு,General Med,மருத்துவவியல்
binaural,"இரட்டைச் செவி, இருசெவிசார்",General Med,மருத்துவவியல்
binauricular,இருசெவிமடல்சார்,General Med,மருத்துவவியல்
binder,"கட்டு, பிணைப்பி",General Med,மருத்துவவியல்
binocular,இருவிழிசார்,General Med,மருத்துவவியல்
binocular microscope,இருவிழி நுண்ணோக்கி,General Med,மருத்துவவியல்
binocular single vision,இருவிழி ஒன்றிய நோக்கு,General Med,மருத்துவவியல்
binocular vision,இருவிழிப் பார்வை,General Med,மருத்துவவியல்
binomial,இருபெயரீடு(சார்),General Med,மருத்துவவியல்
binotic,இருசெவிசார்,General Med,மருத்துவவியல்
binovular,ஈரண்ட,General Med,மருத்துவவியல்
binovular twins,ஈரணு இரட்டையர்,General Med,மருத்துவவியல்
binucleate,இரட்டைக்கரு,General Med,மருத்துவவியல்
bio prosthetic techniques,உயிரியல் செயற்கை உறுப்பு முறைகள்,General Med,மருத்துவவியல்
bioacoustics,உயிரி ஒலியியல்,General Med,மருத்துவவியல்
bioactive,உயிரிமுனைப்பு கொண்ட,General Med,மருத்துவவியல்
bioartificial,உயிரிச்செயற்கை,General Med,மருத்துவவியல்
biocatalyst,உயிர் வினையூக்கி,General Med,மருத்துவவியல்
biocenosis,உடனுறை உறவு,General Med,மருத்துவவியல்
bio-chemical,உயிர் வேதியியல்,General Med,மருத்துவவியல்
biocidal,உயிரழிப்பு,General Med,மருத்துவவியல்
biocidal drug,உயிரழிப்பு மருந்து,General Med,மருத்துவவியல்
bioclimatics,உயிரிக் காலநிலையியல்,General Med,மருத்துவவியல்
bioclimatology,உயிரிக் காலநிலை ஆய்வியல்,General Med,மருத்துவவியல்
biocompatibility,உயிர்ப்பொருத்தப்பாடு,General Med,மருத்துவவியல்
biocompatible (adj),உயிர்ப்பொருத்தப்பாட்டு,General Med,மருத்துவவியல்
biocycle,உயிர்ச்சுழற்சி,General Med,மருத்துவவியல்
biocyclic,உயிர்ச்சுழற்சிசார்,General Med,மருத்துவவியல்
biodegradability,உயிரியாற்சிதைவுறுந் தன்மை,General Med,மருத்துவவியல்
biodegradable,"உயிரியாற்சிதைவுறும், உயிரியாற்சிதைவுறத்தக்க",General Med,மருத்துவவியல்
biodegradation,"உயிரிவழிச்சிதைவு, உயிரியாற் சிதைவு",General Med,மருத்துவவியல்
biodiversity of medicinal plants,மருத்துவத் தாவர உயிர்ப்பன்மை,General Med,மருத்துவவியல்
biodynamics,உயிர் இயக்கவியல்,General Med,மருத்துவவியல்
bioengineering,உயிரித் தொழில்நுட்பம்,General Med,மருத்துவவியல்
bioethics,உயிரி அறவியல்,General Med,மருத்துவவியல்
biofeedback,உயிரிவழி மீள்தகவல்,General Med,மருத்துவவியல்
biofeedback mechanism,உயிரிமீள்தகவல் செயல்முறை,General Med,மருத்துவவியல்
biogenesis,உயிர்வழித்தோற்றம்,General Med,மருத்துவவியல்
biogenetic,உயிர்வழித்தோற்ற,General Med,மருத்துவவியல்
biogenetic law,உயிர்வழிக் கோட்பாடு,General Med,மருத்துவவியல்
biogenic,உயிரிவழித்தோற்ற,General Med,மருத்துவவியல்
biogenous,"உயிர்வழித்தோற்ற, உயிரித்தோற்றுவிக்கும்",General Med,மருத்துவவியல்
biohazard,"உயிரிடர், உயிரிடரான",General Med,மருத்துவவியல்
bioinformatics,"உயிரித் தகவலியல், உயிரியல் தகவல் நுட்பவியல்",General Med,மருத்துவவியல்
biokinetics,உயிரி வினையியல்,General Med,மருத்துவவியல்
"biologic, biological",உயிரியல்சார்,General Med,மருத்துவவியல்
biological environment,உயிரியல் சூழல்,General Med,மருத்துவவியல்
biological success,உயிரியல் வெற்றி,General Med,மருத்துவவியல்
biologically spread diseases,உயிர்வழிப் பரவும் நோய்கள்,General Med,மருத்துவவியல்
biologist,உயிரியலாளர்,General Med,மருத்துவவியல்
biology,உயிரியல்,General Med,மருத்துவவியல்
bioluminescene,"உயிரியல் ஒளிர்வு, உயிரொளிர்வு",General Med,மருத்துவவியல்
biolysis,உயிரிச்சிதைவு,General Med,மருத்துவவியல்
biomarker,உயிரிச்சுட்டு,General Med,மருத்துவவியல்
bio-mechanical,உயிரி எந்திரவியல்,General Med,மருத்துவவியல்
biomechanical changes,உயிரி எந்திரவியல் மாற்றங்கள்,General Med,மருத்துவவியல்
biomechanical property,உயிரி எந்திரவியல் பண்பு,General Med,மருத்துவவியல்
biomechanics,"உயிரி இயக்கவியல், உயிரி எந்திரவியல்",General Med,மருத்துவவியல்
biomedical genetics,உயிர்மருத்துவ மரபியல்,General Med,மருத்துவவியல்
biomedical hypothesis,உயிர்மருத்துவக் கருதுகோள்,General Med,மருத்துவவியல்
biomembrane,உயிர்ப்படலம்,General Med,மருத்துவவியல்
biometrics,உயிரளவையியல்,General Med,மருத்துவவியல்
biometry,உயிரளவை,General Med,மருத்துவவியல்
bion,தனியுயிரி,General Med,மருத்துவவியல்
bionecrosis,உயிர்நசிவு,General Med,மருத்துவவியல்
bionics,தனியுயிரி அறிவியல்,General Med,மருத்துவவியல்
biophysical profile,உயிர் இயற்பியல் குறிப்பு,General Med,மருத்துவவியல்
biophysics,உயிர் இயற்பியல்,General Med,மருத்துவவியல்
bioprocess technology,உயிரிமுறைத் தொழில்நுட்பம்,General Med,மருத்துவவியல்
biopsy,"நுள்ளாய்வு, திசுஆய்வு",General Med,மருத்துவவியல்
biosphere,உயிர்க்கோளம்,General Med,மருத்துவவியல்
biostatistics,உயிர்ப் புள்ளியியல்,General Med,மருத்துவவியல்
biosynthesis,"உயிரியல் தொகுப்பு, உயிர்புதுக்கம்",General Med,மருத்துவவியல்
biotaxis,"உயிரிசாரியக்கம், உயிரமைப்பு",General Med,மருத்துவவியல்
biotechnology,உயிர்த் தொழில்நுட்பவியல்,General Med,மருத்துவவியல்
biotechnology of medical and aromatic ,"மருத்துவ, நறுமணத் தாவர உயிர்த் தொழில்நுட்பம்",General Med,மருத்துவவியல்
biotherapy,உயிர்மருத்துவம்,General Med,மருத்துவவியல்
biotic (adj),உயிரியல்,General Med,மருத்துவவியல்
biotomy,உயிர்க்கூறியல்,General Med,மருத்துவவியல்
biotype,உயிர்வகை,General Med,மருத்துவவியல்
bipareital diameter,இருபக்கவோட்டு விட்டம்,General Med,மருத்துவவியல்
bipartitc,"இருபகுப்பான, இருகூறிய",General Med,மருத்துவவியல்
biped,இருகால் உயிரி,General Med,மருத்துவவியல்
bipedal,"இருபாத, இருகாலிய",General Med,மருத்துவவியல்
"bipennate, bipenniform","இரட்டைச்சிறகிய, இருவழி நார்த்தசை, இருகிளைத்தசை",General Med,மருத்துவவியல்
biperforate,"இருதுளை, இருதுளைகொண்ட",General Med,மருத்துவவியல்
bipolar,இருமுனைய,General Med,மருத்துவவியல்
bipolar cell,இருமுனை உயிரணு,General Med,மருத்துவவியல்
bipolar disorders,"இருமுனை மாறுபாடுகள், இருமுனைக் கோளாறுகள்",General Med,மருத்துவவியல்
bipolar neuron,"இருபக்க நரம்பணு, இருமுனை நரம்பணு",General Med,மருத்துவவியல்
bipotential,இருவகைத் திறலுடைய,General Med,மருத்துவவியல்
bipotentiality,இருவகைத் திறல்,General Med,மருத்துவவியல்
bipus,இருபாத,General Med,மருத்துவவியல்
biramous,இருகிளையுடைய,General Med,மருத்துவவியல்
birth and death registration,பிறப்பு-இறப்புப் பதிவு,General Med,மருத்துவவியல்
birth asphyxia,"பிறப்பு மூச்சுத்திணறல், பேற்று மூச்சுத்திணறல்",General Med,மருத்துவவியல்
birth canal,பிறப்புக் கால்வாய்,General Med,மருத்துவவியல்
birth fracture,பிறப்பு முறிவு,General Med,மருத்துவவியல்
birth injury,பிறப்புக் காயம்,General Med,மருத்துவவியல்
birth pore,பிறப்புத் துளை,General Med,மருத்துவவியல்
bisexual,இருபாலின,General Med,மருத்துவவியல்
bisferious,இருதுடிப்புடை,General Med,மருத்துவவியல்
bistratal,ஈரடுக்குடைய,General Med,மருத்துவவியல்
bite mark,கடித்த குறி,General Med,மருத்துவவியல்
bizarre injury,நம்பத்தகாத காயம்,General Med,மருத்துவவியல்
black mole,கறுப்பு மச்சம்,General Med,மருத்துவவியல்
black out,இருட்டடிப்பு,General Med,மருத்துவவியல்
black tongue,கருநாக்கு,General Med,மருத்துவவியல்
black water fever,கருநீர்க் காய்ச்சல்,General Med,மருத்துவவியல்
bladder,"சிறுநீர்ப்பை, பை",General Med,மருத்துவவியல்
bladder injury,சிறுநீர்ப்பைக் காயம்,General Med,மருத்துவவியல்
bladder neck obstruction,சிறுநீர்ப்பைக் கழுத்தடைப்பு,General Med,மருத்துவவியல்
bladder perforation,சிறுநீர்ப்பைக் கிழிவு,General Med,மருத்துவவியல்
bladder substitution,பை மாற்றறுவை,General Med,மருத்துவவியல்
"bladder, gall",பித்தப்பை,General Med,மருத்துவவியல்
"bladder, urinary",சிறுநீர்ப்பை,General Med,மருத்துவவியல்
bland diet,"காரம், வாசனை, நாரில்லாத சுவையற்ற உணவு",General Med,மருத்துவவியல்
blandin’s gland,பிளாண்டின் சுரப்பி,General Med,மருத்துவவியல்
blast,"முகை, துளிரியம், துளிரணு",General Med,மருத்துவவியல்
blastema,"உறுப்பணுக் குவியல், அரும்பணுக் குவியல்",General Med,மருத்துவவியல்
blastic crisis,வளர்ம இடர்பாடு,General Med,மருத்துவவியல்
blasto coel,கருக்கோளக் குழி,General Med,மருத்துவவியல்
blastocyst,"சினைநீர்க்கோளம், கருக்கோளம்",General Med,மருத்துவவியல்
blastocyst cavity,"சினைநீர்க் கோளக்குவை, முகிழணுக் குவை",General Med,மருத்துவவியல்
blastoderm,கருக்கோள அடுக்கு,General Med,மருத்துவவியல்
blastodisc,கருத்தட்டு,General Med,மருத்துவவியல்
blastomere,"சினைக்காரணிகள், கருக்கோள அணுக்கள்",General Med,மருத்துவவியல்
blastopore,கருக்கோளத் துளை,General Med,மருத்துவவியல்
blastula,"கருக்கோளம், கருக்கோள உயிரி",General Med,மருத்துவவியல்
blastulation,கருக்கோளமாக்கம்,General Med,மருத்துவவியல்
bleaching,"வெண்மையாக்குதல், வெளுத்தல்",General Med,மருத்துவவியல்
bleaching powder,"சலவைத்தூள், வெண்தூள்",General Med,மருத்துவவியல்
bleb,கொப்புளம்,General Med,மருத்துவவியல்
bleeding,"இரத்தக்கசிவு, இரத்தப்போக்கு, இரத்த ஒழுக்கு",General Med,மருத்துவவியல்
bleeding gums,ஈறுகளில் இரத்தக்கசிவு,General Med,மருத்துவவியல்
bleeding newborn,பிறந்த குழந்தை குருதிப்போக்கு,General Med,மருத்துவவியல்
blepharism,தொடர் இமை கொட்டல்,General Med,மருத்துவவியல்
blepharitis,"இமை அழற்சி, இமைப்புண்",General Med,மருத்துவவியல்
blepharospasm,இமை இழுப்பு,General Med,மருத்துவவியல்
blighted ovum,அழிந்த கரு,General Med,மருத்துவவியல்
blind,குருடு,General Med,மருத்துவவியல்
blind end,முட்டு முனை,General Med,மருத்துவவியல்
blind spot,"குருட்டுப் புள்ளி, குருட்டுப் பொட்டு",General Med,மருத்துவவியல்
blindness,குருட்டுத்தன்மை,General Med,மருத்துவவியல்
blisters,கொப்புளங்கள்,General Med,மருத்துவவியல்
bloat,"வீக்கம், உப்புசம்",General Med,மருத்துவவியல்
blood,"குருதி, இரத்தம்",General Med,மருத்துவவியல்
blood bank,"இரத்தச் சேமிப்பு வங்கி, இரத்த வங்கி",General Med,மருத்துவவியல்
blood capillary,குருதி நுண்குழல்,General Med,மருத்துவவியல்
blood cells,"குருதிக் கலங்கள், குருதி அணுக்கள், இரத்த அணுக்கள்",General Med,மருத்துவவியல்
blood circulation,"இரத்தவோட்டம், குருதியோட்டம்",General Med,மருத்துவவியல்
blood clot,"இரத்தக் கட்டு, இரத்த உறைவு",General Med,மருத்துவவியல்
